handle,title,Body (HTML),vendor,Type,Tags,Published,sku,Variant Barcode,Image Src,Author,YearLevel
Butterflies,Butterflies,<BR>Butterflies are beautiful creatures that go through many stages in their life. Let's fly into the world of butterflies!<BR><BR><B>Contents:</B><BR>Introduction<BR>Stages in a Butterfly's Life<BR>What a Butterfly's Body is Like<BR>What Caterpillars and Butterflies Eat<BR>Dangers to Butterflies and Caterpillars<BR>Why Butterflies Are Useful<BR>People and Butterflies<BR>Glossary <BR>Index<BR><BR><I>Comprehension Skill: Fact and Opinion</I><BR><I>Text Type: Factual Description</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265255,9781420265255,,Fran Drake,"2"
Fire at the House,Fire at the House,<BR>Fire can be very scary. And to be trapped in a house with a fire is even more scary. Find out what happens in this exciting read!<BR><BR><I>Comprehension Skill: Cause and Effect</I><BR><I>Text Type: Narrative</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265262,9781420265262,,Emily Waterfield,"2"
Springboard into Comprehension 1 Level 17 Pack ,Springboard into Comprehension 1 Level 17 Pack ,<BR>This pack contains one of each of the six titles in <I>Springboard Into Comprehension Level 1</I><I>7</I>.<BR><BR><I>Butterflies</I><BR><I>Camels</I><BR><I>Fire at the House</I><BR><I>The Mystery of the Green Budgie</I><BR><I>The Perfect Pie</I><BR><I>Toads and Frogs</I><BR><BR>,MEA,Pack with multiple titles,"Primary,English,Springboard into Comprehension",TRUE,9781420265200,9781420265200,,Various,"2"
Springboard into Comprehension 1 Level 17 Classroom Value Pack ,Springboard into Comprehension 1 Level 17 Classroom Value Pack ,<BR>This pack contains 6 of each of the six titles in <B>Springboard Into Comprehension Level 17</B>. Great for the classroom!<BR><BR><I>Butterflies</I><BR><I>Camels</I><BR><I>Fire at the House</I><BR><I>The Mystery of the Green Budgie</I><BR><I>The Perfect Pie</I><BR><I>Toads and Frogs</I><BR><BR>,MEA,Mixtures Pack,"Primary,English,Springboard into Comprehension",TRUE,9781420221114,9781420221114,,Various,"2"
Giant Squid,Giant Squid,<BR>Did you know that giant squid can grow up to the length of 13 metres! That is longer then the average-sized truck! Find out more about giant squids in this interesting read.<BR><BR><B>Contents:</B><BR>Introduction<BR>Where Do Gaint Squid Live?<BR>How Big Are Giant Squid?<BR>Parts of a Giant Squid<BR>What do Giant Squid Eat?<BR>What Eats Giant Squid/<BR>Big Eyes and Blue Blood<BR>Fact or Fiction<BR>A Rare Sight<BR>Glossary<BR>Index<BR><BR><I>Comprehension Skill: Identifying Detail</I><BR><I>Text Type: Factual Description</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265309,9781420265309,,Archie Burn,"2"
The Honey Bird and the Badger,The Honey Bird and the Badger,<BR>What happens when a Honey Bird and a Badger set out on a journey together?...Let's find out!<BR><BR><I>Comprehension Skill: Main Idea</I><BR><I>Text Type: Narrative</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265316,9781420265316,,Maxwell Torr,"2"
Sushi,Sushi,<BR>Learn all about the Japanese food Sushi in this delicious read! Even learn how to make Sushi!<BR><BR><B>Contents:</B><BR>Introduction<BR>Sushi in the Past<BR>Sushi Today<BR>You Can Make Sushi<BR>Adding Flavour<BR>Glossary<BR>Index<BR><BR><I>Comprehension Skill: Sequencing</I><BR><I>Text Type: Explanation</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265323,9781420265323,,Victoria St John,"2"
Crocodiles and Alligators,Crocodiles and Alligators,<BR>What is the difference between crocodiles and alligators? Do you know? This informative book examines both animals.<BR><BR><B>Contents</B>:<BR>Introduction<BR>Where Crocodiles and Alligators Live<BR>Crocodile and Alligator Bodies<BR>What Crocodiles and Alligators Eat<BR>Crocodile and Alligator Eggs<BR>Unusual Facts<BR>Glossary<BR>Index<BR><BR><I>Comprehension Skills: Compare and Contrast</I><BR><I>Text Type: Informative Report </I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265330,9781420265330,,Jerry Alexander,"2"
My Mum's Passport,My Mum's Passport,<BR>Do you own a passport? <BR>Azura learns all about her mum's passport when they travel to Malaysia together.<BR><BR><I>Comprehension Skill: Fact and Opinion</I><BR><I>Text Type: Literary Recount</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265347,9781420265347,,Emily Waterfield,"2"
Elephants Walk for Water,Elephants Walk for Water,<BR>Find out what happens to the elephants when they can't find any water!<BR><BR><I>Comprehension Skill: Cause and Effect</I><BR><I>Text Type: Narrative</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265354,9781420265354,,John Suzuki,"2"
Springboard into Comprehension 1 Level 18 Pack,Springboard into Comprehension 1 Level 18 Pack,<BR>This pack contains one of each of the six titles in Springboard Into Comprehension Level 18.<BR>,MEA,Pack with multiple titles,"Primary,English,Springboard into Comprehension",TRUE,9781420265293,9781420265293,,Various,"2"
Springboard into Comprehension 1 Level 18 Classroom Value Pack,Springboard into Comprehension 1 Level 18 Classroom Value Pack,<BR>This pack contains six of each of the six titles in <B>Springboard Into Comprehension Level 18</B>. <BR><BR>Great for the classroom!<BR><BR><BR>,MEA,Mixtures Pack,"Primary,English,Springboard into Comprehension",TRUE,9781420222500,9781420222500,,Various,"2"
Springboard into Comprehension Assessment Year 4,Springboard into Comprehension Assessment Year 4,"<BR><B><I>Springboard into Comprehension Assessment</I></B> provides tools for systematically measuring and monitoring students' development of the key comprehension skills with different types of texts. It also provides opportunities for explicit instruction targeted to students' needs. <BR><BR><BR>With assessment content (questions and answers) created by Educational Assessment Australia from UNSW Global Pty Limited,<B><I> Springboard into Comprehension Assessment</I></B> provides a reliable means to evaluate and plan for optimal teaching and learning outcomes.<BR><BR><BR><B><I>Springboard into Comprehension Assessment builds</I></B> on the bestselling series <B><I>Springboard into Comprehension</I></B>, which provides a complete literacy program for developing students' comprehension skills and strategies. <BR><BR><BR>Overview of Components:<BR><UL type=disc><LI>Survey Cards - diagnostic assessment of comprehension <LI>Focus Cards - ongoing assessment of comprehension <LI>Teacher Resource Book with Digital Resources Disc <LI>A2 Posters for handy classroom reference</LI></UL><BR>View the brochure - <A href=""https://issuu.com/macmillanmarketing/docs/sicassessmentbrochure_august2016_fi""><FONT color=#0000ff>Springboard into Comprehension Assessment</FONT></A><BR>",MEA,Box,"Primary,English,Springboard into Comprehension Assessment ",TRUE,9781420237207,9781420237207,,Educational Assessment Australia (UNSW) ,"4"
Springboard into Comprehension Assessment Year 5,Springboard into Comprehension Assessment Year 5,"<BR><B><I>Springboard into Comprehension Assessment</I></B> provides tools for systematically measuring and monitoring students' development of the key comprehension skills with different types of texts. It also provides opportunities for explicit instruction targeted to students' needs. <BR><BR><BR>With assessment content (questions and answers) created by Educational Assessment Australia from UNSW Global Pty Limited,<B><I> Springboard into Comprehension Assessment</I></B> provides a reliable means to evaluate and plan for optimal teaching and learning outcomes.<BR><BR><BR><B><I>Springboard into Comprehension Assessment builds</I></B> on the bestselling series <B><I>Springboard into Comprehension</I></B>, which provides a complete literacy program for developing students' comprehension skills and strategies. <BR><BR><BR>Overview of Components:<BR><UL type=disc><LI>Survey Cards - diagnostic assessment of comprehension <LI>Focus Cards - ongoing assessment of comprehension <LI>Teacher Resource Book with Digital Resources Disc <LI>A2 Posters for handy classroom reference</LI></UL><BR>View the brochure - <A href=""https://issuu.com/macmillanmarketing/docs/sicassessmentbrochure_august2016_fi""><FONT color=#0000ff>Springboard into Comprehension Assessment</FONT></A><BR><BR>",MEA,Box,"Primary,English,Springboard into Comprehension Assessment ",TRUE,9781420237214,9781420237214,,Educational Assessment Australia (UNSW) ,"5"
Springboard into Comprehension Assessment Year 6,Springboard into Comprehension Assessment Year 6,"<BR><B><I>Springboard into Comprehension Assessment</I></B> provides tools for systematically measuring and monitoring students' development of the key comprehension skills with different types of texts. It also provides opportunities for explicit instruction targeted to students' needs. <BR><BR><BR>With assessment content (questions and answers) created by Educational Assessment Australia from UNSW Global Pty Limited,<B><I> Springboard into Comprehension Assessment</I></B> provides a reliable means to evaluate and plan for optimal teaching and learning outcomes.<BR><BR><BR><B><I>Springboard into Comprehension Assessment builds</I></B> on the bestselling series <B><I>Springboard into Comprehension</I></B>, which provides a complete literacy program for developing students' comprehension skills and strategies. <BR><BR><BR>Overview of Components:<BR><UL type=disc><LI>Survey Cards - diagnostic assessment of comprehension <LI>Focus Cards - ongoing assessment of comprehension <LI>Teacher Resource Book with Digital Resources Disc <LI>A2 Posters for handy classroom reference</LI></UL><BR>View the brochure - <A href=""https://issuu.com/macmillanmarketing/docs/sicassessmentbrochure_august2016_fi""><FONT color=#0000ff>Springboard into Comprehension Assessment</FONT></A><BR><BR>",MEA,Box,"Primary,English,Springboard into Comprehension Assessment ",TRUE,9781420237221,9781420237221,,Educational Assessment Australia (UNSW) ,"6"
Handwriting Rules! New South Wales Foundation Style Year K,Handwriting Rules! New South Wales Foundation Style Year K,"<BR><B><I>...taking handwriting out of 'drill' and into English </I></B><BR><BR>This outstanding new book links handwriting with the NSW syllabus for the Australian Curriculum.<BR><BR>Defining itself from alternative series, it fully integrates handwriting skills with other areas of the English curriculum: spelling and phonics, vocabulary, grammar, punctuation and aspects of literature.<BR><BR>Its use of multi-sensory elements via chants and patter rhymes will assist to embed letter formation in the motor memory. In another first - supporting CDs provide animations and digital tracking of letters to consolidate multi-sensory development of skills.<BR><BR><FONT face=""Futura Light"">Year K features:</FONT> <UL type=disc><LI><FONT color=#212100 size=4 face=""Futura Light"">chant for each letter, based on an alliterative noun group </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">patterns to develop fine motor control </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">track and trace with start dots and directional arrows </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">artwork to reinforce the focus letter </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">teacher box with words to look for on the page or to link to in other English Curriculum work </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">cognitive approach, including patter phrases describing how to form each letter.</FONT></LI></UL>",MEA,Paperback,"Primary,English,Handwriting Rules!",TRUE,9781458644596,9781458644596,,Katy Collis,"K"
Handwriting Rules! New South Wales Foundation Style Year 1,Handwriting Rules! New South Wales Foundation Style Year 1,"<BR><B><I>...taking handwriting out of 'drill' and into English </I></B><BR><BR>This outstanding new book links handwriting with the NSW syllabus for the Australian Curriculum.<BR><BR>Defining itself from alternative series, it fully integrates handwriting skills with other areas of the English curriculum: spelling and phonics, vocabulary, grammar, punctuation and aspects of literature.<BR><BR>Its use of multi-sensory elements via chants and patter rhymes will assist to embed letter formation in the motor memory. In another first - supporting CDs provide animations and digital tracking of letters to consolidate multi-sensory development of skills.<BR><BR><FONT color=#212100 size=4 face=""Futura Light"">Year 1 features:</FONT> <UL type=disc><LI><FONT color=#212100 size=4 face=""Futura Light"">focus letter clearly modelled </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">trace a pattern to warm up </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">track and trace with start dots and directional arrows </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">write words, with start dots to guide spacing </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">write sentences </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">self-assessment </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">teacher box with links to grammar, punctuation, spelling and vocabulary, and literary elements.</FONT></LI></UL>",MEA,Paperback,"Primary,English,Handwriting Rules!",TRUE,9781458644602,9781458644602,,Katy Collis,"1"
Handwriting Rules! New South Wales Foundation Style  Year 2,Handwriting Rules! New South Wales Foundation Style  Year 2,"<BR><B><I>...taking handwriting out of 'drill' and into English </I></B><BR><BR>This outstanding new book links handwriting with the NSW syllabus for the Australian Curriculum.<BR><BR>Defining itself from alternative series, it fully integrates handwriting skills with other areas of the English curriculum: spelling and phonics, vocabulary, grammar, punctuation and aspects of literature.<BR><BR>Its use of multi-sensory elements via chants and patter rhymes will assist to embed letter formation in the motor memory. In another first - supporting CDs provide animations and digital tracking of letters to consolidate multi-sensory development of skills.<BR><BR><FONT color=#212100 size=4 face=""Futura Light"">Year 2 features:</FONT> <UL type=disc><LI><FONT color=#212100 size=4 face=""Futura Light"">focus letter clearly modelled </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">trace a picture to warm up </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">trace a noun/verb/adverb alliterative label </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">trace and write letters, words and sentences </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">practice sentences connect to other elements of the English Curriculum </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">self-assessment encourages students to think about their own learning </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">teacher box with links to grammar, punctuation, spelling and vocabulary, and literary elements.</FONT></LI></UL>",MEA,Paperback,"Primary,English,Handwriting Rules!",TRUE,9781458644619,9781458644619,,Katy Collis,"2"
Handwriting Rules! New South Wales Teacher Support Disc Years K 2,Handwriting Rules! New South Wales Teacher Support Disc Years K 2,"<BR><FONT color=#212100>This supporting Disc for Years K - 2 provides animations and digital tracking of letters and joins, as well as printable teacher support and resources for differentiation and assessment. </FONT><BR><BR><FONT color=#212100 face=""Futura Light"">Each Disc features: </FONT><UL type=disc><LI><I><FONT color=#212100 face=""Futura Medium"">viewable </FONT></I><FONT color=#212100 face=""Futura Light"">charts to warm up and get ready to write </FONT><LI><I><FONT color=#212100 face=""Futura Medium"">animations </FONT></I><FONT color=#212100 face=""Futura Light"">to model the correct formation of letters, numerals and joins </FONT><LI><I><FONT color=#212100 face=""Futura Medium"">digital tracking or tracing activities </FONT></I><FONT color=#212100 face=""Futura Light"">to embed the movement in students  motor memory </FONT><LI><I><FONT color=#212100 face=""Futura Medium"">hundreds of printable resources </FONT></I><FONT color=#212100 face=""Futura Light"">including a teaching guide, wall posters, pattern pages, differentiation worksheets, and assessment guide, checklists and certificates.</FONT></LI></UL><BR><B>Contents</B> <UL type=disc><LI><FONT color=#212100>Get Ready </FONT><LI><FONT color=#212100>a - z </FONT><LI><FONT color=#212100>A - Z </FONT><LI><FONT color=#212100>0 - 9 </FONT><LI><FONT color=#212100>Printables <BR>- Teaching guide <BR>- Posters <BR>- Pattern pages <BR>- Differentiation<BR>- Assessment</FONT></LI></UL>",MEA,CD,"Primary,English,Handwriting Rules!",TRUE,9781458647931,9781458647931,,Katy Collis,""K, 1, 2""
Handwriting Rules! New South Wales Foundation Style Year 3,Handwriting Rules! New South Wales Foundation Style Year 3,"<BR><B><I>...taking handwriting out of 'drill' and into English </I></B><BR><BR>This outstanding new book links handwriting with the NSW syllabus for the Australian Curriculum.<BR><BR>Defining itself from alternative series, it fully integrates handwriting skills with other areas of the English curriculum: spelling and phonics, vocabulary, grammar, punctuation and aspects of literature.<BR><BR>Its use of multi-sensory elements via chants and patter rhymes will assist to embed letter formation in the motor memory. In another first - supporting CDs provide animations and digital tracking of letters to consolidate multi-sensory development of skills.<BR><BR><FONT color=#212100 size=4 face=""Futura Light"">Year 3 features:</FONT> <UL type=disc><LI><FONT color=#212100 size=4 face=""Futura Light"">clear instruction box for each new join </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">helpful tips in speech bubbles </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">variety of activities, including writing own texts </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">focus on building fluency and legibility </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">self-assessment encourages students to think about their own learning </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">teacher box with links to grammar, punctuation, spelling and vocabulary, and literary elements.</FONT></LI></UL>",MEA,Paperback,"Primary,English,Handwriting Rules!",TRUE,9781458644626,9781458644626,,Katy Collis,"3"
Handwriting Rules! New South Wales Foundation Style Year 4,Handwriting Rules! New South Wales Foundation Style Year 4,"<BR><B><I>...taking handwriting out of 'drill' and into English </I></B><BR><BR>This outstanding new book links handwriting with the NSW syllabus for the Australian Curriculum.<BR><BR>Defining itself from alternative series, it fully integrates handwriting skills with other areas of the English curriculum: spelling and phonics, vocabulary, grammar, punctuation and aspects of literature.<BR><BR>Its use of multi-sensory elements via chants and patter rhymes will assist to embed letter formation in the motor memory. In another first - supporting CDs provide animations and digital tracking of letters to consolidate multi-sensory development of skills.<BR><BR><FONT color=#212100 size=4 face=""Futura Light"">Year 4 features:</FONT> <UL type=disc><LI><FONT color=#212100 size=4 face=""Futura Light"">clear instruction box for each new join </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">helpful tips in speech bubbles </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">a variety of activities provide English Curriculum context for handwriting, as well as encourage student engagement, interest and motivation </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">focus on building fluency, legibility and speed </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">extra challenges, such as writing without guidelines and new speed joins </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">self-assessment encourages students to think about their own learning </FONT><LI><FONT color=#212100 size=4 face=""Futura Light"">teacher box with links to grammar, punctuation, spelling and vocabulary, and literary elements.</FONT></LI></UL>",MEA,Paperback,"Primary,English,Handwriting Rules!",TRUE,9781458644633,9781458644633,,Katy Collis,"4"
